Date,SDS,SPY,SSO
2023-03-10,190.5678253173828,369.95159912109375,21.789884567260742
2023-03-13,191.4058837890625,369.4242858886719,21.706645965576172
2023-03-14,184.99493408203125,375.53094482421875,22.44113540649414
2023-03-15,187.2576141357422,373.1822204589844,22.16692543029785
2023-03-16,181.09808349609375,379.7297668457031,22.90631103515625
2023-03-17,185.20445251464844,375.2896728515625,22.39706802368164
2023-03-20,181.93612670898438,378.8983459472656,22.803483963012695
2023-03-21,177.0755615234375,383.8735046386719,23.400869369506836
2023-03-22,183.24998474121094,377.3297119140625,22.60761833190918
2023-03-23,182.5330047607422,378.3498840332031,22.71044921875
2023-03-24,180.17120361328125,380.8326110839844,23.004243850708008
2023-03-27,179.45423889160156,381.544677734375,23.097278594970703
2023-03-28,180.29771423339844,380.68829345703125,22.99445152282715
2023-03-29,175.1523895263672,386.2215270996094,23.650596618652344
2023-03-30,173.29669189453125,388.48284912109375,23.91011619567871
2023-03-31,168.57310485839844,393.9584045410156,24.580949783325195
2023-04-03,167.307861328125,395.45965576171875,24.762126922607422
2023-04-04,169.03701782226562,393.265625,24.497709274291992
2023-04-05,170.26011657714844,392.2358703613281,24.345916748046875
2023-04-06,169.07919311523438,393.7659912109375,24.522192001342773
2023-04-10,168.74180603027344,394.1701354980469,24.576053619384766
2023-04-11,168.65744018554688,394.2760009765625,24.58584976196289
2023-04-12,170.133544921875,392.6689453125,24.389984130859375
2023-04-13,165.7473602294922,397.8846435546875,25.01185417175293
2023-04-14,166.67523193359375,396.9127502441406,24.894336700439453
2023-04-17,165.49432373046875,398.3369445800781,25.070613861083984
2023-04-18,165.4099884033203,398.59674072265625,25.095096588134766
2023-04-19,165.49432373046875,398.5294189453125,25.08530044555664
2023-04-20,167.4765625,396.3545837402344,24.79640007019043
2023-04-21,167.2656707763672,396.6625671386719,24.81599235534668
2023-04-24,167.0126495361328,397.0762939453125,24.86985206604004
2023-04-25,172.28451538085938,390.773193359375,24.071704864501953
2023-04-26,173.97149658203125,389.1180114746094,23.870946884155273
2023-04-27,167.2235107421875,396.8645935058594,24.806196212768555
2023-04-28,164.43994140625,400.2519226074219,25.212614059448242
2023-05-01,164.77735900878906,399.8477478027344,25.168546676635742
2023-05-02,168.4465789794922,395.35382080078125,24.59564208984375
2023-05-03,170.9348907470703,392.64007568359375,24.252880096435547
2023-05-04,173.38104248046875,389.8590393066406,23.900325775146484
2023-05-05,167.13914489746094,397.0762939453125,24.776817321777344
2023-05-08,167.13914489746094,397.1821594238281,24.791505813598633
2023-05-09,168.6152801513672,395.4404296875,24.576053619384766
2023-05-10,167.0969696044922,397.2879638671875,24.79640007019043
2023-05-11,167.8983154296875,396.59515380859375,24.698469161987305
2023-05-12,168.4465789794922,396.0755310058594,24.62012481689453
2023-05-15,167.35000610351562,397.44195556640625,24.78171157836914
2023-05-16,169.58531188964844,394.7860412597656,24.458534240722656
2023-05-17,165.66302490234375,399.5782775878906,25.041231155395508
2023-05-18,162.5842742919922,403.4275207519531,25.516202926635742
2023-05-19,163.09036254882812,402.84051513671875,25.432960510253906
2023-05-22,163.0481719970703,403.00408935546875,25.43785858154297
2023-05-23,166.633056640625,398.48126220703125,24.8796443939209
2023-05-24,169.1213836669922,395.5943908691406,24.502607345581055
2023-05-25,166.5065155029297,399.0201416015625,24.918819427490234
2023-05-26,162.28904724121094,404.1877746582031,25.55537223815918
2023-05-30,162.28904724121094,404.34173583984375,25.560272216796875
2023-05-31,164.01820373535156,402.0995788574219,25.286062240600586
2023-06-01,161.0659637451172,405.919921875,25.746341705322266
2023-06-02,156.46890258789062,411.7899169921875,26.50531768798828
2023-06-05,157.22804260253906,411.00091552734375,26.378005981445312
2023-06-06,156.59539794921875,411.8957824707031,26.50041961669922
2023-06-07,157.73414611816406,410.4715881347656,26.319244384765625
2023-06-08,155.96278381347656,412.954345703125,26.622835159301758
2023-06-09,155.54104614257812,413.6953125,26.70117950439453
2023-06-12,152.79969787597656,417.4482727050781,27.190841674804688
2023-06-13,150.8174591064453,420.20050048828125,27.533601760864258
2023-06-14,150.4800567626953,420.70086669921875,27.602155685424805
2023-06-15,146.97955322265625,425.9165344238281,28.26319694519043
2023-06-16,148.11827087402344,424.46588134765625,28.057540893554688
2023-06-20,149.5944061279297,422.2636413574219,27.78333282470703
2023-06-21,151.2354736328125,420.10009765625,27.4748477935791
2023-06-22,150.29771423339844,421.6165466308594,27.67070960998535
2023-06-23,152.64208984375,418.4290771484375,27.234912872314453
2023-06-26,153.96351623535156,416.71942138671875,27.014564514160156
2023-06-27,150.59608459472656,421.2881164550781,27.6070556640625
2023-06-28,150.51084899902344,421.50067138671875,27.63643455505371
2023-06-29,149.53045654296875,423.16192626953125,27.82740020751953
2023-06-30,146.20565795898438,428.15557861328125,28.473751068115234
2023-07-03,145.77940368652344,428.64813232421875,28.54720115661621
2023-07-05,146.29090881347656,428.0106506347656,28.439476013183594
2023-07-06,148.72055053710938,424.6590576171875,27.98409080505371
2023-07-07,149.5730743408203,423.5868835449219,27.842086791992188
2023-07-10,148.84844970703125,424.6590576171875,27.974302291870117
2023-07-11,147.0155487060547,427.36346435546875,28.33175277709961
